,armyPower,mostPowerful,economyGPD,population,mostSafely,democracy,caltureInfl
tajikistan,0.268965517,0.174825175,0.203389831,0.598290598,0.402234637,0.060240964,0.158415842
guatemala,0.262068966,0.293706294,0.627118644,0.705128205,0.357541899,0.415662651,0.4
luxembourg,0.255172414,0.132867133,0.615819209,0.286324786,0.960893855,0.915662651,0.425742574
northmacedonia,0.248275862,0.24,0.254237288,0.363247863,0.631284916,0.3,0.3
cambodia,0.24137931,0.272727273,0.435028249,0.692307692,0.301675978,0.222891566,0.524752475
laos,0.234482759,0.20979021,0.293785311,0.564102564,0.391061453,0.054216867,0.05
ghana,0.227586207,0.258741259,0.581920904,0.803418803,0.597765363,0.662650602,0.247524752
uganda,0.220689655,0.433566434,0.497175141,0.876068376,0.145251397,0.409638554,0.02970297
afghanistan,0.213793103,0.216783217,0.1,0.85042735,0.033519553,0.006024096,0.006
bosniaandherzegovina,0.206896552,0.083916084,0.395480226,0.418803419,0.5,0.439759036,0.43
eritrea,0.2,0.223776224,0.22,0.444444444,0.106145251,0.090361446,0.09
lebanon,0.193103448,0.244755245,0.2,0.482905983,0.139664804,0.331325301,0.188118812
southsudan,0.186206897,0.202797203,0.2,0.636752137,0.016759777,0.02,0.02
nicaragua,0.179310345,0.195804196,0.288135593,0.551282051,0.346368715,0.162650602,0.16
niger,0.172413793,0.181818182,0.259887006,0.773504274,0.134078212,0.259036145,0.26
republicofthecongo,0.165517241,0.160839161,0.16,0.16,0.16,0.192771084,0.1
dominicanrepublic,0.15862069,0.188811189,0.644067797,0.645299145,0.61452514,0.668674699,0.277227723
namibia,0.151724138,0.153846154,0.220338983,0.384615385,0.625698324,0.65060241,0
elsalvador,0.144827586,0.125874126,0.451977401,0.525641026,0.491620112,0.530120482,0
botswana,0.137931034,0.146853147,0.367231638,0.388888889,0.681564246,0.831325301,0
burkinafaso,0.131034483,0.167832168,0.344632768,0.752136752,0.117318436,0.337349398,0
nepal,0.124137931,0.111888112,0.463276836,0.794871795,0.30726257,0.403614458,0
montenegro,0.117241379,0.118881119,0.18079096,0.282051282,0.664804469,0.572289157,0
senegal,0.110344828,0.13986014,0.406779661,0.700854701,0.446927374,0.475903614,0.059405941
mauritania,0.103448276,0.090909091,0.197740113,0.465811966,0.206703911,0.361445783,0
gabon,0.096551724,0.097902098,0.378531073,0.38034188,0.553072626,0.277108434,0
madagascar,0.089655172,0.104895105,0.276836158,0.790598291,0.273743017,0.524096386,0
panama,0.082758621,0.06993007,0.598870056,0.457264957,0.770949721,0.722891566,0
kosovo,0.075862069,0.076923077,0.07,0.07,0.07,0.07,0.07
iceland,0.068965517,0.055944056,0.412429379,0.235042735,0.994413408,0.975903614,0
centralafricanrepublic,0.062068966,0.062937063,0.11299435,0.504273504,0.044692737,0.036144578,0.267326733
sierraleone,0.055172414,0.048951049,0.152542373,0.568376068,0.284916201,0.427710843,0.03960396
beliz,0.048275862,0,0,0,0,0,0
liberia,0.04137931,0.034965035,0.15819209,0.491452991,0.184357542,0.469879518,0
benin,0.034482759,0.020979021,0.316384181,0.675213675,0.413407821,0.379518072,0
somalia,0.027586207,0.027972028,0.02,0.709401709,0.005586592,0.005,0
suriname,0.020689655,0.041958042,0.146892655,0.277777778,0.648044693,0.704819277,0
moldova,0.013793103,0.006993007,0.265536723,0.431623932,0.525139665,0.602409639,0
bhutan,0.006896552,0.013986014,0.01,0.299145299,0.536312849,0.542168675,0
